Order_Number,State_Code,Customer_Name,Order_Date,Status,Product,Category,Brand,Cost,Sales,Quantity,Total_Cost,Total_Sales,Assigned_Supervisor
139374.0,AP,Adhir Samal,2020-01-11,Delivered,512 GB M.2,SSD,Samsung,6500.0,8450.0,1.0,6500.0,8450.0,Ajay Sharma
139375.0,AP,Dannana Jhammi,2020-01-11,Delivered,RYZEN 3rd gen. 3500 ,CPU,Intel,8500.0,11050.0,3.0,25500.0,33150.0,Roshan Kumar
139376.0,AS,Vipin Kumar,2020-01-11,Delivered,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Aarvi Gupta
139377.0,BR,Ranjeet Kumar,2020-01-11,Delivered,16 GB DDR4 RAM,RAM,Hynix,6550.0,8515.0,3.0,19650.0,25545.0,Vijay Singh
139378.0,CG,Sajal Singhal,2020-01-11,Order,Standard ATX motherboard,MotherBoard,Gigabyte,7650.0,9945.0,4.0,30600.0,39780.0,Aadil Khan
139379.0,CG,Akhilesh Kumar,2020-01-11,Order,Compact with 1 Fan,Cabinet,Asus,1150.0,1495.0,2.0,2300.0,2990.0,Advika Joshi
139380.0,CG,Suvankar Chakraborty,2020-01-11,Order,USB Backlight Keyboard,Keyboard,Dell,850.0,1105.0,3.0,2550.0,3315.0,Ajay Sharma
139381.0,CG,Suvankar Adhikary,2020-01-12,Order,Ergonomic Mouse,Mouse,Samsung,650.0,845.0,2.0,1300.0,1690.0,Ajay Sharma
139382.0,CG,Rahul Kumar Prajapati,2020-01-13,Order,"15"" LCD Dsipaly",Monitor,Dell,7500.0,9750.0,1.0,7500.0,9750.0,Roshan Kumar
139383.0,JK,Sagar Jeur,2020-01-14,Order,2 TB HDD,HDD,Seagate,10000.0,13000.0,3.0,30000.0,39000.0,Aarvi Gupta
139384.0,JH,Rhushikesh Mane,2020-01-15,Order,1 TB SSD,SSD,Samsung,10500.0,13650.0,1.0,10500.0,13650.0,Aadil Khan
139385.0,KA,Ashish Kumar,2020-01-16,Order,Intel i5 12th gen.,CPU,Intel,8500.0,11050.0,4.0,34000.0,44200.0,Advika Joshi
139386.0,KL,Javed Akhter,2020-01-17,Order,2GB Graphic Card,Graphic Card,Nvidia,7000.0,9100.0,2.0,14000.0,18200.0,Ajay Sharma
139387.0,KL,Haridas Balraj,2020-01-18,Processing,4 GB DDR4 Ram,RAM,Hynix,1680.0,2184.0,1.0,1680.0,2184.0,Ajay Sharma
139388.0,KL,Kundan Kumar,2020-01-19,Processing,Micro ATX motherboard,MotherBoard,MSI,6540.0,8502.0,2.0,13080.0,17004.0,Roshan Kumar
